SWID	OfficialNames	Isomeric Smiles	PubChem IDs	KEGG IDs	ChemSpider, IDs	DrugBank IDs	ChEBI IDs	Synonyms
SW00001	Traditional Herbal Isolate=hydrogen cyanide,FDA Approved Drug=FERRIC HEXACYANOFERRATE(II)	C#N	33190,768		25061284,748		CHEBI:18407	cyclon<>2,cyclone b<>2,zaclondiscoids<>2,formonitrile<>2,evercyn<>2,prussic acid<>2,hydridonitridocarbon<>1,acide cyanhydrique[french]<>1,hydrocyanic acid[acd/iupac name]<>1,methanenitrile<>1,hydrocyanic acid<>1,zyklon b<>1,57-12-5[rn]<>1,blausaeure[german]<>1,cyanwasserstoff<>1,ammonium-ferric-cyano-ferrate(ii)<>1,341972-31-4[rn]<>1,ammonium iron (iii) hexacyanoferrate<>1,74-90-8[rn]<>1,blauwzuur[dutch]<>1,cyanwasserstoff[german]<>1,ammonium-ferric-ferrocyanide<>1,cyaanwaterstof[dutch]<>1,formic anammonide<>1,hydrogen cyanide<>1,cyjanowodor[polish]<>1,acido cianidrico[italian]<>1,acide hydrocyanique<>1,blausaeure; cyanwasserstoff; [chn];formonitrile; hydrocyanic acid; hydrogen cyanide<>1,ammonium iron(3+) hexakis(cyano-c)ferrate(4-)<>1,blausaeure<>1,cyanide*hydrocyanic acid<>1,ferric ammonium ferrocyanide<>1,191234-22-7[rn]<>1,giese salt<>1,na1613<>1,hydrogen cyanide[wiki]<>1,carbon hydride nitride<>1,blausaure[german]<>1,ai3-31100-x<>1,hydridonitridocarbon; hydrogen(nitridocarbonate); methanenitrile<>1,prussian blue[wiki]<>1,cyn<>1,6914-07-4[rn]<>1,ammonium iron hexacyanoferrate<>1,200-821-6[einecs]<>1,[chn]<>1,afcf<>1,hydrogen(nitridocarbonate)<>1,hcn<>1,4-02-00-00050 (beilstein handbook reference)[beilstein]<>1,einecs 247-304-1<>1,ac1l1p4k<>1,ferric hexacyanoferrate(ii)<>1,aero liquid hcn<>1,formic nitrile; hydrogen cyanide; methanenitrile; prussic acid<>1
SW00002	FDA Approved Drug=NITRIC OXIDE	[N]=O	145068	D00074	127983	DB00435	CHEBI:16480	inomax<>4,nitrosyl radical<>3,nitrogen monooxide<>3,nitric oxide<>3,<>2,oxido nitrico<>2,mononitrogen monoxide<>2,nitrogen monoxide<>2,oxoazanyl<>2,oxyde azotique<>2,no<>2,amidogen, oxo-<>2,monoxyde d'azote<>2,stickstoffmonoxid<>2,nitrosyl<>1,oxidonitrogen(.); oxoazanyl<>1,(.)no; (no)(.); no(.); stickstoff(ii)-oxid; stickstoffmonoxid;[no]; mononitrogenmonoxide; monoxido de nitrogeno; monoxyde d'azote; nitric oxide; nitrogen monooxide; nitrogen monoxide; nitrosyl; oxido de nitrogeno(ii); oxidonitrico;oxyde azotique; oxyde nitrique<>1,nmo<>1,nitric oxide[wiki]<>1,nitrogen oxide<>1,no(.)<>1,oxyde nitrique<>1,hoa<>1,(.)no<>1,nitricoxide<>1,233-271-0[einecs]<>1,oxidonitrogen(.)<>1,nitric oxide 10% by volume or more<>1,stickstoff(ii)-oxid<>1,nitric oxide trimer<>1,11129-69-4[rn]<>1,monoxido de nitrogeno<>1,nitrosyl[wiki]<>1,10102-43-9[rn]<>1,nitrogen oxide[acd/iupac name]<>1,oxoamino[acd/iupac name]<>1,[no]<>1,rcra waste number p076<>1,gcs-alpha-2<>1,oxido de nitrogeno(ii)<>1,nitrogen protoxide<>1
SW00003	Indian Approved Name=formalin;formaldehyde,Australia Approved Name=FORMALDEHYDE	C=O	712	D00017	692	DB03843	CHEBI:16842	formalin<>9,methylene oxide<>9,oxymethylene<>9,formaldehyde<>9,methyl aldehyde<>9,oxomethane<>9,methanal<>6,formol<>6,formic aldehyde<>6,oxomethylene<>6,paraform<>6,1209228[beilstein]<>3,lp8925000 [rtecs]<>3,8013-13-6[rn]<>3,aldehyde formique[french][iso]<>3,f-gen<>3,formagene<>3,methylene ether<>3,110-88-3[rn]<>3,formaldehyde[wiki][usp][iso][bsi][acd/iupac name]<>3,hyperband<>3,200-001-8[einecs]<>3,aldehyd mravenci[czech]<>3,216-775-5[einecs]<>3,fordor<>3,dormol<>3,formaldehyd[czech]<>3,formo cresol (cresol + formaldehyde)_mixture<>3,formaldehyde; formaldehyd; formaldehyde<>3,8006-07-3[rn]<>3,d005557<>3,karsan[wiki]<>3,53026-80-5[rn]<>3,bfv<>3,methan 21<>3,lysoform<>3,9002-91-9[rn]<>3,floguard 1015<>3,fannoform<>3,superlysoform<>3,methaldehyde<>3,acetal resin<>3,veracur<>3,methanone<>3,30525-89-4[rn]<>3,aldacide<>3,aldeide formica[italian]<>3,dd-carboxypeptidase<>3,metaldehyde[wiki][iso][bsi]<>3,formalith<>3,duoplant plantar wart treatment (formaldehyde + lactic acid + salicylic acid)_mixture<>3,formol[wiki]<>3,paraformaldehyde<>3,ec 3.4.16.4<>3,dd- peptidase<>3,ch2o[formula]<>3,buckleys formo cresol liquid (cresol + formaldehyde)_mixture<>3,8005-38-7[rn]<>3,fyde<>3,flo-mor<>3,morbicid<>3,50-00-0[rn]<>3,methanal[wiki]<>3,formaldehyd[polish]<>3,203-812-5[einecs]<>3,d-alanyl-d-alanine carboxypeptidase precursor<>3,12795-06-1[rn]<>3,112068-71-0[rn]<>3
SW00004	NPC Approved Name=calcium sulfocarbolate	[Ca]	5460341				CHEBI:29320	un1401<>1,calcium(0)<>1,chebi:22984<>1,kalzium<>1,calcium<>1,7440-70-2<>1,calcium compounds<>1,einecs 231-179-5<>1,elemental calcium<>1,hsdb 273<>1
SW00005	Traditional Herbal Isolate=cyanic acid	C(#N)O			525		CHEBI:28024	hydrogennitridooxocarbonate; hydroxidonitridocarbon;nitridooxocarbonicacid<>1,1732479[beilstein]<>1,bonide krab crabgrass killer<>1,p.c. 80 crabgrass killer<>1,zassol<>1,hocn<>1,cyansaeure; hocn; zyansaeure; [c(n)oh]<>1,cyanic acid[wiki][acd/iupac name]<>1,hydrogen nitridooxocarbonate<>1,[c(n)oh]<>1,hydroxidonitridocarbon<>1,alicyanate<>1,weedanol cyanol<>1,d and p double o crabgrass killer<>1,cyanol<>1,weedone crab grass killer<>1,nitridooxocarbonic acid<>1,dupont pc crabgrass killer<>1,hydrogen cyanate<>1,917-61-3[rn]<>1,green cross crabgrass killer<>1,miller p.c. weedkiller<>1,ded-weed crabgrass killer<>1,71000-82-3[rn]<>1,590-28-3[rn]<>1,cyansaeure<>1,zyansaeure<>1,aero cyanate weedkiller<>1,bulpur<>1
SW00006	China Approved Name=sodium nitrite,FDA Approved Drug=SODIUM NITRITE	N(=O)[O-]	23668193	D05865	22689			filmerine<>4,anti-rust<>4,erinitrit<>4,sodium nitrite<>4,dusitan sodny[czech]<>2,diazotizing salts<>2,nitrous acid<>2,231-555-9[einecs]<>2,nano2[formula]<>2,nitrite<>2,nitrous acid sodium salt(1:1)<>2,nitrous acid sodium salt<>2,sodium nitrate(iii)<>2,caswell no. 782<>2,d012977<>2,nitrous acid, sodium salt<>2,82497-43-6[rn]<>2,nitrite, sodium<>2,2,4:3,5-di-o-benzylidene-aldehydo-d-ribose hydrate<>2,sodium nitrite[wiki][acd/iupac name]<>2,synfat 1004<>2,nitrito sodico[spanish]<>2,natrium nitrit[german]<>2,32863-15-3[rn]<>2,sodium nitrite solution<>2,7632-00-0<>2,32580-00-0 (anhydrous)<>2,sodiumnitrite<>2,nitrite de sodium[french]<>2,azotyn sodowy[polish]<>2,56227-20-4[rn]<>2,82998-40-1[rn]<>2,7632-00-0[rn]<>2,sodium nitrite [un1500]  [oxidizer]<>2
SW00007	Indian Approved Name=alcohol;absolute alcohol;polivinyl alcohol;ethyl alcohol;ethanol;lanolin alcohol,WHO Essential Medicine=ethanol,Australia Approved Name=ALCOHOL;ETHANOL,Traditional Herbal Isolate=ethyl alcohol;psyllostearyl alcohol pterosterone;trihydric alcohol,FDA Approved Drug=ALCOHOL	CCO	702	D00068	682	DB00898	CHEBI:16236	methylcarbinol<>35,tecsol<>35,algrain<>35,alcohol<>35,anhydrol<>35,ethyl hydroxide<>35,ethylol<>25,aethanol<>25,aethylalkohol<>25,synasol<>25,jaysol<>25,ethanol absolute<>25,thanol<>25,absolute alcohol<>25,absolute ethanol<>25,denatured ethanol<>25,jaysol s<>25,dehydrated ethanol<>25,tecsol c<>25,pyro<>25,alkohol<>25,alcool ethylique<>25,ethanol<>23,ethyl alcohol<>23,ethyl hydrate<>23,grain alcohol<>22,denatured alcohol cd-5<>13,methylated spirit mineralised<>13,alcohol dehydrogenase gamma subunit<>13,envision conditioner pdd 9020<>13,ethyl alcohol & water, 80%<>13,beta-aminoethyl alcohol<>13,alkoholu etylowego<>13,alcohol anhydrous<>13,hsdb 531<>13,ethyl alcohol, denatured<>13,reagent alcohol<>13,denatured alcohol sd-23a<>13,ethyl alcohol & water, 5%<>13,glycinol<>13,denatured alcohol<>13,ethyl alcohol & water, 70%<>13,caswell no. 426<>13,usaf ek-1597<>13,denatured alcohol sd-39b<>13,ethanol, silent spirit<>13,beta-aminoethanol<>13,ethyl alcohol & water, 10%<>13,eta<>13,aminoethanol<>13,denatured alcohol cd-5a<>13,ethylolamine<>13,denatured alcohol sd-1<>13,ethyl alcohol & water, 40%<>13,denatured alcohol sd-13a<>13,denatured alcohol sd-40m<>13,ethyl alcohol & water, 95%<>13,colamine<>13,ethyl alcohol & water, 20%<>13,ec 1.1.1.1<>13,ethyl alcohol, anhydrous<>13,spirit<>13,ethanol anhydrous<>13,beta-hydroxyethylamine<>13,denatured alcohol sd-17<>13,beta-ethanolamine<>13,ethyl alcohol & water, 60%<>13,ethyl alcohol & water, 96%<>13,alcare hand degermer<>13,denatured alcohol sd-28<>13,ethyl alcohol & water, 50%<>13,denatured alcohol cd-10<>13,ethanol extra pure<>13,denatured alcohol sd-3a<>13,alcohol, diluted<>13,alcool etilico<>13,ethyl alcohol & water, 30%<>13,etanolo<>13,denatured alcohol sd-30<>13,denatured alcohol sd-39c<>13,ethyl alcohol anhydrous<>13,thiofaco m-50<>13,ethanol 200 proof<>13,alcohol, dehydrated<>13,ethanol absolute bp<>13,alkoholu etylowego[polish]<>12,8013-52-3[rn]<>12,alcohol, ethyl[acd/index name]<>12,ethylalcohol[dutch]<>12,121182-78-3[rn]<>12,alcohol etilico<>12,alkohol[german]<>12,etoh[formula]<>12,potato alcohol<>12,alcohol, grain<>12,silent spirit<>12,200-578-6[einecs]<>12,8024-45-1[rn]<>12,n-ethanol<>12,213-128-9[einecs]<>12,sy fresh m<>12,71076-86-3[rn]<>12,ethicap<>12,270-649-4[einecs]<>12,71329-38-9[rn]<>12,etylowy alkohol [polish]<>12,hydroxyethane[wiki]<>12,cologne spirits<>12,molasses alcohol<>12,1-hydroxyethane; aethanol;aethylalkohol; alkohol; c2h5oh; etoh; alcohol; alcoholetilico;alcool ethylique;etanol;ethanol;hydroxyethane; spiritus vini<>12,68475-56-9[rn]<>12,ru-tuss liquid<>12,etanol<>12,anhydrous ethanol<>12,spirits of wine<>12,ace<>12,1718733[beilstein]<>12,q2[wln]<>12,acy<>12,alcohol[wiki][usp]<>12,ethanol[wiki][jan][jp15][acd/iupac name]<>12,c2h5oh[formula]<>12,hinetoless<>12,8000-16-6[rn]<>12,alcool ethylique[french]<>12,alcohol, rubbing<>12,methylated spirit<>12,aethylalkohol[german]<>12,sekundasprit<>12,216-162-2[einecs]<>12,64-17-5[rn]<>12,cologne spirit<>12,esumiru wk 88<>12,alkoholu etylowego [polish]<>12,ethyl alcohol[acd/iupac name]<>12,etylowy alkohol[polish]<>12,alcool etilico[italian]<>12,1-hydroxyethane<>12,ethanol (9ci)<>12,drinking alcohol<>12,etanolo[italian]<>12,d000431<>12,alcohol, absolute<>12,spiritus vini<>12,infinity pure<>12,fermentation alcohol<>12,ethyl alcohol (6ci,7ci,8ci)<>12,lux<>12,eox<>12,ethyl-alcohol<>12
SW00008	Traditional Herbal Isolate=methyl mercaptan;methanethiol	CS	878		855		CHEBI:16007	thiomethyl alcohol<>4,mercaptomethane<>4,thiomethanol<>4,methyl mercaptan<>4,thiomethane<>4,methyl sulfhydrate<>4,methylmercaptan[wiki]<>2,methanthiol[german]<>2,methyl thiol<>2,17719-48-1[rn]<>2,methyl-mercaptan<>2,35029-96-0[rn]<>2,200-822-1[einecs]<>2,methane thiol<>2,metilmercaptano[italian]<>2,methaanthiol[dutch]<>2,methanethiole<>2,methylmercaptaan[dutch]<>2,methanthiol<>2,74-93-1[rn]<>2,methylsulfide<>2,methylmercaptan<>2,methvtiolo[italian]<>2,methvtiolo<>2,methanethiol<>2,methyl thioalcohol<>2,mercaptan methylique[french]<>2,methanethiol[wiki][acd/iupac name]<>2,252-324-9[einecs]<>2
SW00009	Traditional Herbal Isolate=acetone	CC(=O)C	180	D02311	175		CHEBI:15347	acetone<>3,dimethylketal<>2,dimethyl ketone<>2,methyl ketone<>2,pyroacetic ether<>2,dimethylformaldehyde<>2,2-propanone<>2,aceton[wiki]<>1,isoflurane imp. f (ep)<>1,acetone [un1090]  [flammable liquid]<>1,propanone<>1,211-563-9[einecs]<>1,dimethylketon<>1,acetone[wiki][nf][acd/iupac name]<>1,acetone ion<>1,b-ketopropane<>1,4-04-00-3180<>1,635680[beilstein]<>1,beta-ketopropane<>1,dimethylcetone<>1,d000096<>1,propanone[wiki]<>1,azeton<>1,ketone, dimethyl<>1,propanon<>1,ketone, dimethyl-<>1,dimethyl formaldehyde<>1,200-662-2[einecs]<>1,67-64-1[rn]<>1,propan-2-one<>1,dimethylketone<>1,chevron acetone<>1
SW00010	Indian Approved Name=calcium acetate;acetic acid,NPC Approved Name=aluminum diacetate,Traditional Herbal Isolate=acetic acid,Australia Approved Name=ACETIC ACID;POTASSIUM ACETATE;SODIUM ACETATE,WHO Essential Medicine=acetic acid,FDA Approved Drug=ACETIC ACID, GLACIAL;CALCIUM ACETATE;MAGNESIUM ACETATE TETRAHYDRATE;POTASSIUM ACETATE;SODIUM ACETATE;SODIUM ACETATE ANHYDROUS;ZINC ACETATE	CC(=O)[O-]	176,6116,134717,517044,517045,11192,23665404,71317469	D00010,D00931,D01154,D01779,D06408,	171,5890,118734,29104,29105,10719,16128276	DB03166,DB00258,	CHEBI:15366,CHEBI:3310,CHEBI:32029,CHEBI:32954,CHEBI:62984,CHEBI:30089,	acetic acid<>29,glacial acetic acid<>15,acetasol<>15,acide acetique<>10,ethanoic acid<>10,essigsaeure<>10,ethylic acid<>10,methanecarboxylic acid<>10,potassium acetate<>6,lime pyrolignite<>6,brown acetate<>6,phoslo<>6,lime acetate<>6,teltozan<>6,gray acetate of lime<>6,sorbo-calcion<>6,gray acetate<>6,sodium acetate<>6,calcium acetate<>6,55896-93-0[rn]<>5,219-913-2[einecs]<>5,un2789<>5,cromosan<>5,etikkahappo[finnish]<>5,sodium ethanoate<>5,vosol<>5,brn 0506007<>5,anhydrous sodium acetate<>5,un2790<>5,orlex<>5,methyl carboxylic acid<>5,acoh; ch3-cooh; ch3co2h; essigsaeure; ethylicacid; hoac; meco2h; mecooh; methanecarboxylic acid; acide acetique; ethoic acid<>5,azido azetikoa[basque]<>5,sodii acetas<>5,506007[beilstein]<>5,octan barnaty<>5,4-02-00-00094 (beilstein handbook reference)[beilstein]<>5,1563-79-7[rn]<>5,pyroligneous acid<>5,64-19-7[rn]<>5,kyselina octova[czech]<>5,acy<>5,acido acetico[italian]<>5,acetasol[wiki]<>5,kwas octowy[polish]<>5,azijnzuur[dutch]<>5,aci-jel<>5,mecooh<>5,ch3cooh[formula]<>5,meco2h<>5,ch3co2h<>5,214-693-4[einecs]<>5,acetic acid[jan][acd/iupac name]<>5,acoh[formula]<>5,12/3/758<>5,aceticacid,glacial,acs,99.7+%<>5,hoac<>5,glacial, acetic acid<>5,volsol<>5,acetic acid-d<>5,acetic acid sodium salt<>5,200-580-7[einecs]<>5,acid, acetic<>5,otic tridesilon<>5,qv1[wln]<>5,d019342<>5,acetic acid, glacial<>5,otic domeboro<>5,aceticacid<>5,vinegar acid<>5,pyrolignite of lime<>4,grey acetate<>4,acetic acid, calcium salt<>4,procalamine<>4,sorbo-calcian<>4,brown acetate of lime<>4,calac<>4,vinegar salts<>4,diuretic salt<>4,calcium diacetate<>4,potassium ethanoate<>4,phoslo gelcaps<>4,natriumacetat[german]<>3,4-01-00-00715 (beilstein handbook reference)[beilstein]<>3,127-09-3[rn]<>3,ethanoic acid sodium salt<>3,galzin<>3,126-96-5[rn]<>3,acetic acid, sodium salt (1:1)<>3,natriumazetat<>3,204-823-8[einecs]<>3,natrium aceticum[latin]<>3,octan sodny[czech]<>3,9/3/127<>3,204-814-9[einecs]<>3,3595639[beilstein]<>3,natriumazetat[german]<>3,sodiumacetate<>3,sodium acetate[wiki][acd/iupac name]<>3,123333-80-2[rn]<>3,acetic acid, sodium salt<>3,325477-99-4[rn]<>3,k(acac)<>2,kaliumacetat[acd/iupac name]<>2,269-613-0[einecs]<>2,sodium acetate anhydrous<>2,chebi:32029<>2,acetate of lime<>2,254966-93-3[rn]<>2,lypholyte - liq iv (calcium acetate + magnesium acetate + potassium acetate + potassium chloride + sodium acetate + sodium gluconate)_mixture<>2,68649-07-0[rn]<>2,koac<>2,acetic acid, calcium salt (2:1)<>2,9005-49-6<>2,potassium acetate (jan/usp)[usp][jan]<>2,magnesium diethanoate tetrahydrate<>2,electrolytes plus (calcium acetate + calcium d-pantothenate + choline bitartrate + folic acid + magnesium chloride + menadione (menadione sodium bisulfite) + nicotinamide + potassium chloride + sodium acetate + sodium chloride + sodium diacetate + vitamin a acetate + vitamin b12 + vitamin b2 + vitamin d3 + vitamin e)_mixture<>2,zinc(ii) acetate<>2,parvit ii (calcium acetate + folic acid + magnesium chloride + menadione sodium bisulfite (vitamin k3) + potassium (potassium bicarbonate) + sodium (sodium acetate, sodium diacetate, sodium chloride) + vitamin a + vitamin b12 + vitamin b6 (pyridoxine hydrochloride) + vitamin c (vitamin c) + vitamin d3 + vitamin e)_mixture<>2,potassium acetate, acs reagent<>2,super electrolyte - pwr orl (calcium acetate + calcium d-pantothenate + choline bitartrate + folic acid + magnesium chloride + menadione (menadione sodium bisulfite) + nicotinamide + potassium chloride + sodium acetate + sodium chloride + sodium diacetate + vitamin a (vitamin a acetate) + vitamin b12 + vitamin b2 (riboflavin) + vitamin d3 (cholecalciferol) + vitamin e (dl-alpha tocopheryl acetate))_mixture<>2,114460-21-8[rn]<>2,hyperlyte (multi-electrolyte concentrate) (calcium acetate + magnesium acetate + potassium acetate + potassium chloride + sodium acetate + sodium gluconate)_mixture<>2,127-09-3<>2,phoslo (tn)<>2,ethanoic acid potassium salt<>2,8/2/127<>2,3595449<>2,electrovite (calcium acetate + calcium chloride + folic acid + magnesium acetate + menadione sodium bisulfite + potassium chloride + sodium acetate + sodium chloride + sodium diacetate + vitamin a + vitamin b12 + vitamin b6 + vitamin c + vitamin d3 + vitamin e)_mixture<>2,acetic acid, potassium salt (1:1)[acd/index name]<>2,62-54-4[rn]<>2,134092-62-9[rn]<>2,koac[formula]<>2,zinc di(acetate)<>2,catacyst lb<>2,calcium acetate monohydrate<>2,acok<>2,dabco k 2008<>2,zinc acetate<>2,natrium aceticum<>2,octan draselny [czech]<>2,acok; ch3co2k; e261; koac;kaliumazetat; meco2k; potassium acetate<>2,octan draselny[czech]<>2,kaliumazetat<>2,calcium di(acetate)<>2,68307-87-9[rn]<>2,calcium diacetate[acd/iupac name]<>2,dabco k 2097<>2,calciumdiacetat<>2,dicarbomethoxyzinc<>2,electrolyte booster- soluble powder (biotin + calcium acetate + folic acid + magnesium chloride + menadione sodium bisulfite + potassium chloride + sodium acetate + sodium bicarbonate + sodium chloride + sodium diacetate + vitamin a (vitamin a acetate) + vitamin b12 + vitamin b2 (riboflavin) + vitamin b6 (pyridoxine hydrochloride) + vitamin c (ascorbic acid) + vitamin d3 (cholecalciferol) + vitamin e (dl-alpha tocopheryl acetate))_mixture<>2,renodoron - tablet (calcium acetate + silicon dioxide)_mixture<>2,siltex cl 4<>2,jugelect tab (calcium acetate + calcium citrate + magnesium acetate + magnesium citrate + potassium chloride + sodium chloride)_mixture<>2,meco2k<>2,ch3co2k<>2,acetic acid; potassium salt<>2,acetic acid potassium salt<>2,127-08-2<>2,potassiumacetate<>2,127-08-2[rn]<>2,acetic acid, potassium salt<>2,lypholyte multi-electrolyte conc inj (calcium acetate + magnesium acetate + potassium acetate + potassium chloride + sodium acetate + sodium gluconate)_mixture<>2,e261<>2,3692527<>2,potassium acetate[wiki][jan][acd/iupac name]<>2,mineralytes plus (calcium acetate + calcium d-pantothenate + choline bitartrate + dl-alpha tocopheryl acetate + folic acid + magnesium chloride + menadione (menadione sodium bisulfite) + nicotinamide + potassium chloride + sodium acetate + sodium chloride + sodium diacetate + vitamin a acetate + vitamin b12 + vitamin b2 + vitamin d3)_mixture<>2,zinc acetate anhydrous<>2,200-540-9[einecs]<>2,anti stress (calcium acetate + folic acid + magnesium chloride + menadione sodium bisulfite + potassium (potassium bicarbonate) + pyridoxine hydrochloride + sodium acetate + sodium chloride + vitamin a + vitamin b12 + vitamin c + vitamin d3 + vitamin e)_mixture<>2,5743-26-0[rn]<>2,calcium acetate hydrate<>2,niacet calcium acetate tech<>2,204-822-2[einecs]<>2,calcium acetate[wiki]<>2,fema no. 2920<>2,dabco p 15<>2,medi-kool pak (aluminum sulfate + arnica + boric acid + calcium acetate + camphor + menthol + methyl salicylate + tannic acid)_mixture<>2,polycat 46<>2,calciumacetate<>2,calcium acetate [usan:jan][jan][usan]<>2,acetic acid, magnesium salt, hydrate (2:1:2)<>1,zincacetate<>1,zinc acetate hydrate<>1,acetic acid, zinc salt<>1,5970-45-6[rn]<>1,cromosa<>1,ag-g-23286<>1,zinc acetate[wiki]<>1,557-34-6[rn]<>1,16674-78-5[rn]<>1,ctk3j2310<>1,sodium acetate (usp)<>1,zinkdiacetat<>1,acetic acid, zinc salt (2:1)<>1,205-554-9[einecs]<>1,ac1l3544<>1,thomaegelin<>1,magnesiumacetatetetrahydrate<>1,zinc diacetate[acd/iupac name]<>1,128514-83-0[rn]<>1,3730605<>1,magnesium acetate tetrahydrate<>1,acmc-20alto<>1,magnesium acetate<>1,tutofusin<>1,ar-1j3632<>1,zn(oac)2<>1,zn(ii)ac2<>1,plasmafusin<>1,acetic acid, zinc(ii) salt<>1,209-170-2[einecs]<>1,magnesium acetate hydrate(1:2:4)<>1,octan zinecnaty[czech]<>1,sodium acetate trihydrate<>1,acetic acid magnesium salt<>1,natrium acetate-3-wasser<>1,zinc diacetate<>1,sodium acetate hydrate<>1,aluminum diacetate<>1,magnesium diacetate tetrahydrate<>1,131853-00-4[rn]<>1,6131-90-4<>1,magnesium acetate hydrate (1:2:4)[acd/iupac name]<>1,sodium acetate (tn)<>1,56368-38-8[rn]<>1
