orig_index,Isomeric Smiles,Molecular Weight,AlogP,H_donors,H_acceptors,#RO5 Violations,MW,LogP,RO5_violations
0,C#N,27.025999999999996,0.13978,0.0,1.0,0.0,,,
1,[N]=O,30.006,-0.44710000000000005,0.0,1.0,0.0,,,
2,C=O,30.026,-0.1849,0.0,1.0,0.0,,,
3,[Ca],40.078,-0.3808,0.0,0.0,0.0,,,
4,C(#N)O,43.025000000000006,-0.16002,1.0,2.0,0.0,,,
5,N(=O)[O-],46.005,0.25060000000000004,0.0,3.0,0.0,,,
6,CCO,46.069,-0.0014000000000000123,1.0,1.0,0.0,,,
7,CS,48.11000000000001,0.546,1.0,1.0,0.0,,,
8,CC(=O)C,58.08,0.5952999999999999,0.0,1.0,0.0,,,
9,CC(=O)[O-],59.044000000000004,-1.2438,0.0,2.0,0.0,,,
10,C(=O)([O-])[O-],60.008,-2.447,0.0,3.0,0.0,,,
11,C(=O)(N)N,60.05599999999999,-0.9762,2.0,1.0,0.0,,,
12,C(=[NH2+])(N)N,60.07999999999999,-2.9811000000000005,3.0,0.0,0.0,,,
13,O=[Si]=O,60.084,-0.6184000000000001,0.0,2.0,0.0,,,
14,CC(C)O,60.096000000000004,0.38710000000000006,1.0,1.0,0.0,,,
15,B(O)(O)O,61.833000000000006,-2.0518,3.0,3.0,0.0,,,
16,[N+](=O)([O-])[O-],62.004000000000005,-0.23910000000000006,0.0,3.0,0.0,,,
17,c1ccoc1,68.07499999999999,1.2795999999999998,0.0,1.0,0.0,,,
18,c1cnoc1,69.06299999999999,0.6746,0.0,2.0,0.0,,,
19,C=CC(=O)[O-],71.05499999999999,-1.0777,0.0,2.0,0.0,,,
20,C1COC1=O,72.06299999999999,-0.06669999999999998,0.0,2.0,0.0,,,
21,C1CC[NH2+]C1,72.131,-0.6564000000000001,1.0,0.0,0.0,,,
22,CCC(=O)[O-],73.071,-0.8537000000000001,0.0,2.0,0.0,,,
23,CCCCO,74.12299999999999,0.7787999999999999,1.0,1.0,0.0,,,
24,CCCC[NH3+],74.14699999999999,0.028400000000000147,1.0,0.0,0.0,,,
25,C(C(=O)[O-])O,75.04299999999999,-2.2714000000000003,1.0,3.0,0.0,,,
26,C(C(=O)[O-])[NH3+],75.06700000000001,-3.0218,1.0,2.0,0.0,,,
27,CC(=O)NO,75.067,-0.4882999999999999,2.0,2.0,0.0,,,
28,C(=O)(N)NO,76.05499999999999,-0.9561000000000002,3.0,2.0,0.0,,,
29,CC(CO)O,76.095,-0.6405,2.0,2.0,0.0,,,
30,COCCO,76.095,-0.37489999999999996,1.0,2.0,0.0,,,
31,O[Si](=O)O,78.099,-1.6136000000000001,2.0,1.0,0.0,,,
32,CS(=O)C,78.13600000000001,-0.005299999999999971,0.0,1.0,0.0,,,
33,C(CS)[NH3+],78.16,-0.8419000000000001,2.0,1.0,0.0,,,
34,c1ccncc1,79.10199999999998,1.0816,0.0,1.0,0.0,,,
35,O=[Ti]=O,79.865,-0.2401,0.0,2.0,0.0,,,
36,C1C=CNC=C1,81.11799999999998,1.0070999999999999,1.0,1.0,0.0,,,
37,O=[Zn],81.389,-0.1213,0.0,1.0,0.0,,,
38,Cc1c[nH]nc1,82.106,0.7181199999999999,1.0,1.0,0.0,,,
39,C/C=C/C(=O)[O-],85.082,-0.6876,0.0,2.0,0.0,,,
40,CCCCC=O,86.13399999999999,1.3755,0.0,1.0,0.0,,,
41,CC(C)CC=O,86.13399999999999,1.2314,0.0,1.0,0.0,,,
42,C1CC[NH2+]CC1,86.158,-0.2663000000000002,1.0,0.0,0.0,,,
43,C1CNCC[NH2+]1,87.14600000000002,-1.8469999999999986,2.0,1.0,0.0,,,
44,C(=O)(C(=O)[O-])[O-],88.018,-3.5138000000000003,0.0,4.0,0.0,,,
45,CC(C(=O)[O-])O,89.07,-1.8829000000000002,1.0,3.0,0.0,,,
46,C[C@@H](C(=O)[O-])[NH3+],89.09400000000001,-2.6332999999999993,1.0,2.0,0.0,,,
47,C(C[NH3+])C(=O)[O-],89.09399999999998,-2.6316999999999995,1.0,2.0,0.0,,,
48,C(CC[NH3+])C[NH3+],90.17,-1.7495999999999983,2.0,0.0,0.0,,,
49,C(C(CO)O)O,92.09399999999998,-1.6681000000000001,3.0,3.0,0.0,,,
