concentration_uM,pH,temperature_C,inhibitor_type,inhibition_percent
23.23,7.46,33.0,B,100.0
13.194,7.04,30.9,C,85.6
25.765,7.2,32.1,B,100.0
20.936,7.13,27.2,C,84.43
2.871,7.34,29.3,A,36.2
29.27,7.76,30.8,B,100.0
22.846,7.24,33.3,A,100.0
23.593,7.46,28.4,B,100.0
3.887,6.38,32.1,C,42.5
13.539,7.18,28.9,C,79.77
11.155,6.86,29.5,C,74.51
27.807,6.71,33.3,A,100.0
19.334,6.85,22.0,A,86.64
24.692,7.07,24.8,A,97.46
13.33,7.57,24.1,A,80.86
6.856,6.67,20.7,B,58.37
16.66,7.21,27.3,B,90.46
1.961,7.01,33.0,B,36.45
24.838,7.07,28.9,C,95.3
18.968,7.6,30.8,B,97.72
22.755,7.42,34.4,C,95.9
10.668,7.73,35.3,A,82.83
29.122,7.14,29.7,A,100.0
26.799,6.92,35.4,B,100.0
23.363,7.11,30.4,C,96.26
5.879,7.3,26.7,A,55.47
14.028,7.27,27.6,B,91.07
1.362,6.77,24.1,B,21.31
4.671,7.24,26.4,A,45.3
20.507,7.29,28.6,A,93.08
22.356,8.21,33.2,C,90.3
29.027,7.95,36.9,B,100.0
9.808,6.86,24.5,A,65.35
11.145,7.09,31.6,C,74.45
14.113,6.61,25.8,A,82.78
5.725,6.96,31.9,C,58.46
3.941,7.33,29.5,A,45.91
14.297,7.68,22.7,B,84.92
6.846,6.91,33.7,A,62.33
20.111,6.94,27.6,A,94.84
13.143,6.34,27.9,C,81.75
24.989,7.13,25.7,A,91.45
21.023,6.78,27.4,A,92.7
9.405,6.99,31.7,A,76.8
24.976,6.85,29.2,B,100.0
24.153,7.16,31.3,C,95.76
11.655,6.5,31.4,C,83.51
8.685,6.61,35.3,A,84.23
20.491,8.05,28.6,A,85.4
4.236,6.69,24.1,A,47.77
6.037,6.76,34.3,B,71.2
0.27,7.93,28.7,C,6.07
23.618,8.36,34.5,B,93.58
19.962,6.73,31.5,B,100.0
21.17,7.05,29.5,A,97.88
23.433,7.34,31.4,C,100.0
13.795,7.89,37.8,B,96.8
17.084,6.81,38.3,A,98.56
4.237,7.1,30.3,A,53.19
3.48,7.51,30.6,A,41.33
20.069,7.37,34.3,A,98.2
14.159,7.05,26.6,A,87.65
16.979,7.15,31.3,B,99.45
22.962,6.65,29.9,B,100.0
19.06,7.1,31.3,A,96.76
16.63,7.09,26.7,A,89.7
16.798,7.29,23.6,C,81.65
9.153,6.98,21.7,B,65.06
0.973,7.39,25.5,B,19.74
13.13,7.61,28.2,A,79.0
6.477,7.26,28.8,C,54.48
12.285,7.34,37.7,A,91.39
25.609,7.22,34.4,A,100.0
7.056,7.2,26.2,C,56.72
1.796,6.91,31.4,B,36.52
8.477,7.33,28.4,B,72.14
8.843,7.16,28.9,B,77.55
19.874,8.04,30.7,B,91.69
16.733,7.83,32.5,A,89.74
23.528,7.35,28.6,A,97.44
19.946,6.89,34.3,A,97.52
12.221,6.76,25.4,A,81.28
24.43,7.68,30.0,C,92.27
5.051,7.31,40.4,A,58.85
0.73,7.39,30.9,B,15.84
2.747,6.5,35.7,B,45.72
21.685,7.57,30.4,B,99.93
13.883,7.38,32.3,A,89.37
4.88,6.76,29.8,B,59.01
15.056,7.01,29.3,C,86.3
4.612,7.31,26.9,B,56.36
20.905,7.22,31.7,C,91.27
13.412,7.08,26.6,C,75.96
11.462,7.16,32.7,B,87.53
9.08,7.1,34.3,A,81.3
18.927,7.26,31.5,B,100.0
10.886,7.79,28.9,A,74.17
2.675,6.17,31.8,B,30.36
3.584,7.11,28.8,C,34.12
28.859,7.27,33.7,B,100.0
27.262,7.32,22.7,A,89.66
21.006,7.05,28.7,A,94.49
8.013,6.5,22.0,C,56.06
29.077,7.33,24.0,A,93.0
23.374,7.89,35.5,A,100.0
21.521,6.59,33.6,A,97.96
13.508,7.55,27.1,A,79.4
8.204,7.07,24.0,B,71.84
2.937,7.18,18.1,B,23.18
27.083,6.78,27.8,A,99.48
13.7,7.07,39.7,A,97.11
6.111,7.72,31.7,A,59.9
9.213,7.43,27.8,A,77.28
17.398,7.89,31.9,A,87.35
5.344,7.67,23.8,B,57.89
25.706,7.38,28.8,A,97.32
22.768,7.9,30.4,A,88.77
21.598,7.38,29.7,A,96.43
12.991,7.53,33.2,A,84.47
18.838,7.08,31.4,A,94.4
17.544,7.23,32.7,A,97.37
19.513,6.92,27.2,C,90.34
2.579,7.6,33.6,A,34.45
12.503,6.73,36.5,B,99.34
1.296,7.51,26.1,B,24.28
14.845,7.12,26.4,A,90.07
9.929,7.67,35.3,A,82.25
4.378,7.5,29.2,B,57.38
3.147,7.93,35.6,C,29.84
17.65,7.49,28.2,A,89.01
5.159,6.57,35.8,A,58.39
